graph6	class	class_sizes
S??????_E?W@[?BC?Y@W?Ag?R?@`??J??	E	[13, 13, 12, 12]
S??????_E?W@[?BC?Y@S?EG?U?@B??J??	E	[13, 13, 12, 12]
S??????_E?W@[?BC?Y@S?EG?R?@H??J??	E	[13, 13, 12, 12]
S??????_E?W@[?BC?Y@P?H_?Q_?q??J??	E	[13, 13, 12, 12]
S??????_E?W@[?BC?Y@P?Go?Q_?w??J??	E	[13, 13, 12, 12]
S??????_E?W@[?BC?Y@P?Gg?Y??i??J??	E	[13, 13, 12, 12]
S??????_E?W@[?BC?Y?T?M??e??b??J??	E	[13, 13, 12, 12]
S??????_E?W@[?BC?Y?T?M??b??h??J??	E	[13, 13, 12, 12]
S??????_E?W@[?BC?Y?T?H_?X?@`??J??	E	[13, 13, 12, 12]
S??????_E?W@WCECB_?k?H_?`_?R??F??	E	[13, 13, 12, 12]
